Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
170985,17098,Maià de Montcal,19,Garrotxa,17,Girona,Comarques Gironines,2017,0,0,2.742740958,42.22211068,POINT (2.742740958 42.22211068)
170025,17002,Aiguaviva,20,Gironès,17,Girona,Comarques Gironines,2009,0,0,2.762375415,41.93808642,POINT (2.762375415 41.93808642)
430206,43020,Banyeres del Penedès,12,Baix Penedès,43,Tarragona,Penedès,2019,0,0,1.580800344,41.27936622,POINT (1.580800344 41.27936622)
171024,17102,Maçanet de Cabrenys,02,Alt Empordà,17,Girona,Comarques Gironines,2019,0,0,2.750387891,42.38605651,POINT (2.750387891 42.38605651)
081477,08147,Olesa de Montserrat,11,Baix Llobregat,08,Barcelona,Metropolità,2007,0,0,1.893900541,41.54350594,POINT (1.893900541 41.54350594)
170871,17087,Juià,20,Gironès,17,Girona,Comarques Gironines,2002,0,0,2.907342846,42.01794949,POINT (2.907342846 42.01794949)
081846,08184,Rubí,40,Vallès Occidental,08,Barcelona,Metropolità,2022,6,0,2.031335058,41.49348467,POINT (2.031335058 41.49348467)
250450,25045,Bausen,39,Val d'Aran,25,Lleida,Alt Pirineu i Aran,2014,0,0,0.716292102,42.83477555,POINT (0.716292102 42.83477555)
083054,08305,Vilafranca del Penedès,03,Alt Penedès,08,Barcelona,Penedès,2007,64,181,1.697222865,41.34649761,POINT (1.697222865 41.34649761)
251692,25169,"Pobla de Cérvoles, la",18,Garrigues,25,Lleida,Ponent,2022,0,0,0.915289225,41.36804868,POINT (0.915289225 41.36804868)
171576,17157,Sant Andreu Salou,20,Gironès,17,Girona,Comarques Gironines,2003,0,0,2.825520191,41.87335925,POINT (2.825520191 41.87335925)
250352,25035,"Sentiu de Sió, la",23,Noguera,25,Lleida,Ponent,2004,0,0,0.877706518,41.80531687,POINT (0.877706518 41.80531687)
431107,43110,"Pobla de Massaluca, la",37,Terra Alta,43,Tarragona,Terres de l'Ebre,2021,0,0,0.353860191,41.1811873,POINT (0.353860191 41.1811873)
430022,43002,Albinyana,12,Baix Penedès,43,Tarragona,Penedès,2002,0,0,1.486184747,41.24563253,POINT (1.486184747 41.24563253)
430846,43084,Miravet,30,Ribera d'Ebre,43,Tarragona,Terres de l'Ebre,2014,0,0,0.597512982,41.03813937,POINT (0.597512982 41.03813937)
430038,43003,"Albiol, l'",08,Baix Camp,43,Tarragona,Camp de Tarragona,2007,0,0,1.089629618,41.25209985,POINT (1.089629618 41.25209985)
